topic_k,fit_rows,share_strong_dominant,mean_max_topic_weight,max_topic_share,topics_under_1pct,mean_top10_jaccard_overlap,median_top10_jaccard_overlap,topic_scan_score
12,258329,0.9978902871919142,0.5497012687444135,0.18541085205300217,0,0.008771929824561403,0.0,0.8037075053143505
16,258329,0.9908643628860871,0.4939633634360152,0.1372319793751379,0,0.006676413255360623,0.0,0.8469559702555887
20,258329,0.9844694169063481,0.47743590943077374,0.08192266450921112,0,0.008341028008618035,0.0,0.894205724388519
24,258329,0.9706420881898664,0.4390931724995381,0.10355786613194802,0,0.00706316088601726,0.0,0.8600210611719011
