true_group,pred_group,count,row_share
STRUCTURE,VISIBILITY / WIPER,36,0.12
STRUCTURE,EXTERIOR LIGHTING,0,0.0
STRUCTURE,SUSPENSION,5,0.0167
STRUCTURE,FORWARD COLLISION AVOIDANCE,1,0.0033
VISIBILITY / WIPER,ENGINE / COOLING,1,0.0039
VISIBILITY / WIPER,POWER TRAIN,0,0.0
VISIBILITY / WIPER,ELECTRICAL SYSTEM,5,0.0195
VISIBILITY / WIPER,STEERING,0,0.0
VISIBILITY / WIPER,SERVICE BRAKES,0,0.0
VISIBILITY / WIPER,AIR BAGS,1,0.0039
VISIBILITY / WIPER,FUEL / PROPULSION,0,0.0
VISIBILITY / WIPER,STRUCTURE,14,0.0547
VISIBILITY / WIPER,VISIBILITY / WIPER,234,0.9141
VISIBILITY / WIPER,EXTERIOR LIGHTING,1,0.0039
VISIBILITY / WIPER,SUSPENSION,0,0.0
VISIBILITY / WIPER,FORWARD COLLISION AVOIDANCE,0,0.0
EXTERIOR LIGHTING,ENGINE / COOLING,0,0.0
EXTERIOR LIGHTING,POWER TRAIN,1,0.0052
EXTERIOR LIGHTING,ELECTRICAL SYSTEM,6,0.0312
EXTERIOR LIGHTING,STEERING,0,0.0
EXTERIOR LIGHTING,SERVICE BRAKES,0,0.0
EXTERIOR LIGHTING,AIR BAGS,0,0.0
EXTERIOR LIGHTING,FUEL / PROPULSION,1,0.0052
EXTERIOR LIGHTING,STRUCTURE,2,0.0104
EXTERIOR LIGHTING,VISIBILITY / WIPER,1,0.0052
EXTERIOR LIGHTING,EXTERIOR LIGHTING,181,0.9427
EXTERIOR LIGHTING,SUSPENSION,0,0.0
EXTERIOR LIGHTING,FORWARD COLLISION AVOIDANCE,0,0.0
SUSPENSION,ENGINE / COOLING,0,0.0
SUSPENSION,POWER TRAIN,6,0.0448
SUSPENSION,ELECTRICAL SYSTEM,2,0.0149
SUSPENSION,STEERING,11,0.0821
SUSPENSION,SERVICE BRAKES,0,0.0
SUSPENSION,AIR BAGS,0,0.0
SUSPENSION,FUEL / PROPULSION,1,0.0075
SUSPENSION,STRUCTURE,5,0.0373
SUSPENSION,VISIBILITY / WIPER,0,0.0
SUSPENSION,EXTERIOR LIGHTING,0,0.0
SUSPENSION,SUSPENSION,109,0.8134
SUSPENSION,FORWARD COLLISION AVOIDANCE,0,0.0
FORWARD COLLISION AVOIDANCE,ENGINE / COOLING,2,0.0157
FORWARD COLLISION AVOIDANCE,POWER TRAIN,4,0.0315
FORWARD COLLISION AVOIDANCE,ELECTRICAL SYSTEM,7,0.0551
FORWARD COLLISION AVOIDANCE,STEERING,0,0.0
FORWARD COLLISION AVOIDANCE,SERVICE BRAKES,10,0.0787
FORWARD COLLISION AVOIDANCE,AIR BAGS,1,0.0079
FORWARD COLLISION AVOIDANCE,FUEL / PROPULSION,0,0.0
FORWARD COLLISION AVOIDANCE,STRUCTURE,1,0.0079
FORWARD COLLISION AVOIDANCE,VISIBILITY / WIPER,4,0.0315
FORWARD COLLISION AVOIDANCE,EXTERIOR LIGHTING,0,0.0
FORWARD COLLISION AVOIDANCE,SUSPENSION,0,0.0
FORWARD COLLISION AVOIDANCE,FORWARD COLLISION AVOIDANCE,98,0.7717
