model,split,rows,positive_rate,pr_auc,roc_auc,f1,precision,recall,brier_score,calibration_method,is_baseline,is_official,recall_top_1pct,recall_top_2pct,recall_top_5pct,precision_top_5pct,lift_top_5pct,recall_top_10pct,precision_top_10pct,lift_top_10pct
late_fusion_sigmoid,holdout_2026,11063,0.06011027750158185,0.8452428763803617,0.9678333167020262,0.8011825572801182,0.7877906976744186,0.8150375939849624,0.01964370917889354,sigmoid,False,True,0.162406015037594,0.3233082706766917,0.7233082706766917,0.868231046931408,14.443970033386716,0.8932330827067669,0.5365853658536586,8.926682560058683
dummy_prior,holdout_2026,11063,0.06011027750158185,0.06011027750158185,0.5,0.0,0.0,0.0,0.05650228315973722,prior,True,False,0.006015037593984963,0.009022556390977444,0.045112781954887216,0.05415162454873646,0.9008713118536413,0.0887218045112782,0.053297199638663056,0.8866570219586908
late_fusion_isotonic,holdout_2026,11063,0.06011027750158185,0.8344929377546244,0.9675003290106396,0.8097784568372803,0.8229813664596274,0.7969924812030075,0.018853445514173534,isotonic,False,False,0.162406015037594,0.3233082706766917,0.7233082706766917,0.868231046931408,14.443970033386716,0.8932330827067669,0.5365853658536586,8.926682560058683
late_fusion_raw,holdout_2026,11063,0.06011027750158185,0.8452428763803617,0.9678333167020262,0.6968973747016707,0.5776458951533135,0.8781954887218045,0.0461806155497736,none,False,False,0.162406015037594,0.3233082706766917,0.7233082706766917,0.868231046931408,14.443970033386716,0.8932330827067669,0.5365853658536586,8.926682560058683
late_fusion_sigmoid,valid_2025,73985,0.05256470906264783,0.8281706650784478,0.9635181364466315,0.7756202804746494,0.8154238729798696,0.73952172795063,0.018210324207643545,sigmoid,False,True,0.1889946001542813,0.369760863975315,0.7564926716379532,0.7951351351351351,15.126786570576748,0.8837747492928774,0.4645222327341533,8.83715026712171
dummy_prior,valid_2025,73985,0.05256470906264783,0.05256470906264783,0.5,0.0,0.0,0.0,0.0498984289712804,prior,True,False,0.008999742864489586,0.01851375674980715,0.04268449472872204,0.044864864864864865,0.8535168493255405,0.08099768578040627,0.04257332071901608,0.8099221222412972
late_fusion_isotonic,valid_2025,73985,0.05256470906264783,0.8215497783457608,0.9642054537672876,0.7777152504220597,0.8586517552034794,0.7107225507842633,0.0175295770007159,isotonic,False,False,0.18950887117510928,0.369503728464901,0.7572640781691952,0.7959459459459459,15.142211573877812,0.8840318848032913,0.46465738613326124,8.839721448462159
late_fusion_raw,valid_2025,73985,0.05256470906264783,0.8281706650784478,0.9635181364466315,0.6934801016088061,0.5893146249325418,0.8423759321162253,0.03760190858829161,none,False,False,0.1889946001542813,0.369760863975315,0.7564926716379532,0.7951351351351351,15.126786570576748,0.8837747492928774,0.4645222327341533,8.83715026712171
