month,mfr_name,maketxt,modeltxt,yeartxt,topic_id,topic_label,component_groups,complaints,unique_states,max_component_watchlist_score,avg_topic_strength,severity_broad_rate,critical_event_near_operation_rate,highway_rate,high_speed_rate,best_signal_tier
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2014,6,Transmission shifting / gear engagement issue,POWER TRAIN,3,3,5.731394269688294,0.3849133065060995,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-02-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,10,Steering wheel binding / difficult turning issue,SUSPENSION,5,4,5.691662175630257,0.36994706963299373,0.0,0.0,0.0,0.0,Moderate signal
2026-02-01,FORD MOTOR COMPANY,FORD,EXPLORER,2015,19,Tire / suspension / frame rust mixed issue,BACK OVER PREVENTION | STRUCTURE,3,3,5.558710327263705,0.3192698430508818,0.0,0.0,0.0,0.3333333333333333,Early signal
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2023,15,Oil consumption / low oil issue,ENGINE / COOLING,3,3,5.485391346600504,0.5212846414579565,0.0,0.3333333333333333,0.0,0.3333333333333333,Early signal
2026-02-01,"CHRYSLER (FCA US, LLC)",ALFA ROMEO,STELVIO,2018,9,Fuel pump / fuel tank / leak or odor issue,FUEL / PROPULSION,3,3,5.420755333013355,0.5534161394684616,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"KIA AMERICA, INC.",KIA,EV6,2022,18,Headlight / low beam visibility issue,ELECTRICAL SYSTEM,3,3,5.40155245616071,0.3175058824115968,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2021,6,Transmission shifting / gear engagement issue,POWER TRAIN,5,5,5.307942422974902,0.5792906089545691,0.0,0.0,0.0,0.0,Moderate signal
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,SANTA FE,2023,18,Headlight / low beam visibility issue,ELECTRICAL SYSTEM,3,3,5.302970207674058,0.44540137821770004,0.0,0.0,0.0,0.0,Early signal
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,1,Electric power steering assist loss,ELECTRICAL SYSTEM,4,4,5.19406774088905,0.32575191329449626,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2023,6,Transmission shifting / gear engagement issue,ENGINE / COOLING,3,3,5.18056243911694,0.23341733420126895,0.0,0.3333333333333333,0.0,0.0,Early signal
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,WRANGLER,2012,12,Cruise / traction / electronic braking control issue,SERVICE BRAKES,3,3,5.115787476072459,0.4800868703286005,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2022,6,Transmission shifting / gear engagement issue,POWER TRAIN,3,3,5.076189807008249,0.3942802908096728,0.0,0.0,0.0,0.0,Early signal
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2023,12,Cruise / traction / electronic braking control issue,ELECTRICAL SYSTEM,3,2,5.037190457546572,0.38548901454932016,0.0,0.0,0.0,0.0,Early signal
2026-02-01,FORD MOTOR COMPANY,FORD,F-250,2020,9,Fuel pump / fuel tank / leak or odor issue,FUEL / PROPULSION,3,3,5.036428262109865,0.6628391817436797,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"KIA AMERICA, INC.",KIA,SPORTAGE,2023,17,Vehicle shutoff / stall while driving issue,ELECTRICAL SYSTEM,3,3,5.031198597040985,0.45974754427975656,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"CHRYSLER (FCA US, LLC)",JEEP,WRANGLER,2014,12,Cruise / traction / electronic braking control issue,SERVICE BRAKES,3,3,4.932316727047395,0.6362004315983686,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2021,15,Oil consumption / low oil issue,POWER TRAIN,3,3,4.924948842603642,0.43419987864268567,0.0,0.0,0.0,0.0,Early signal
2026-02-01,FORD MOTOR COMPANY,FORD,F-150,2025,12,Cruise / traction / electronic braking control issue,FORWARD COLLISION AVOIDANCE,3,3,4.868774587956003,0.6007994140866021,0.0,0.0,0.0,0.6666666666666666,Early signal
2026-02-01,TOYOTA MOTOR CORPORATION,TOYOTA,HIGHLANDER,2021,7,Door latch / lock / unintended opening issue,STRUCTURE,3,3,4.839282903545671,0.4136015744006807,0.0,0.0,0.0,0.0,Early signal
